NUMBER	GLOSS	ORTH_NEEDHAM	PHON_NEEDHAM	ROMAN_MODERN	PHON_MODERN	ORTH_MODERN	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
81	egg	wû´dî	wu.di	wuz.tiz	βu₁ti₁	𖪦𖪄.𖪰𖪀		744	EGG
82	empty	shok´thü	ʃɒk.tʰy	shvuk.httuiz	ʃɐuk₄t̪ʰɨ₁	𖪴𖩸𖪄𖪠.𖪸𖪌		1624	EMPTY
83	eye	mak	mʌk	muik	mɨk₄	𖪫𖪌𖪠		1248	EYE
84	face	thal	tʰʌl	htvlx	tʰɐl₂	𖪯𖩻𖪮		1560	FACE
85	false	â´rot	ɑ.rɒt	v.rovt	ə₀roɐt₄	𖩸.𖪲𖩰𖩸𖪰		3069	FALSE
86	elephant	jân	ʧɑn	jawz	ʨɔ₁	𖪵𖪈		1290	ELEPHANT
87	fat (not lean)	â´pü	ɑ.py	v.puiz	ə₀pɨ₁	𖩸.𖪧𖪌	Needham incorrectly glossed as the wrong "fat" in English	323	FAT (ORGANIC SUBSTANCE)
88	far	â´jâl	ɑ.ʧɑl	yalz	ʒal₁	𖪥𖩴𖪮		1406	FAR
89	father	vâ	βɑ	v.waz	ə₀βa₁	𖩸.𖪦𖩴		1217	FATHER
90	fear	â´hî	ɑ.hi	v.hiz	ə₀hi₁	𖩸.𖪭𖪀		781	FEAR (FRIGHT)
91	feather	mûl	mul	mulz	mul₁	𖪫𖪄𖪮	body hair or fur generally	1201	FEATHER
92	female	yâl´shik/yâ´shik	jɑl.ʃɪk/jɑ.ʃɪk	yalx.juik	ʒal₂ʨɨk₄	𖪥𖩷𖪮.𖪵𖪌𖪠		2105	FEMALE PERSON
93	finger	yok´shî	jɒk.ʃi	yvuk.shix	ʒɐuk₄ʃi₂	𖪥𖩸𖪄𖪠.𖪴𖪃		1303	FINGER
94	fire	varr	βʌr	wvrz	βɐr₁	𖪦𖩸𖪲		221	FIRE
95	fire-place	varrkuṉ	βʌr.kũ	tap.khux	tap₄kʰu₂	𖪰𖩴𖪧.𖪡𖪇		185	FIREPLACE
96	fire-gun	gâp	gɑp	ghap	ɣap₄	𖪷𖩴𖪧		1172	SHOOT
97	fish	ngâ	ŋɑˀ	ngaq	ŋaʔ₄	𖪣𖩶		227	FISH
98	flame	vâṉ	βɑ̃					889	FLAME
99	flea	kar´khî	kʌr.kʰi	tv.lic	tə₀li₃	𖪰𖩸.𖪮𖪁	Needham glosses this incorrectly	2241	WILD CAT
100	flint striker	varrpai	βʌr.pɒi̯	wvrz.payc	βɐr₁pai₃	𖪦𖩸𖪲.𖪧𖩵𖪁	to light a fire with flint	737	LIGHT (IGNITE)
101	fly, v	bâ	bɑ	baz	ba₁	𖪪𖩴		1441	FLY (MOVE THROUGH AIR)
102	fog	pharm	pʰʌrm	phuemx	pʰɤm₂	𖪩𖪗𖪫		249	FOG
103	foot	yâ´phâ	jɑ.pʰɑ	yaz.phac	ʒa₁pʰa₃	𖪥𖩴.𖪩𖩵		1301	FOOT
104	forget	â´lok	ɑ.lɒk	v.lvuk	ə₀lɐuk₄	𖩸.𖪮𖩸𖪄𖪠		1523	FORGET
105	forest	ling	lɪŋ	luingx	lɨŋ₂	𖪮𖪏𖪐		420	FOREST
106	forehead	khâng	kʰɑŋ	khvungx.kuimx	kʰɐuŋ₂kɨm₂	𖪡𖩻𖪇𖪐.𖪠𖪏𖪫		123	FOREHEAD
107	fowl	wû	wu	wuz	βu₁	𖪦𖪄		265	FOWL
108	friend	î-hî´wâ	i.hi.wɑ	--	--	--	form is unattested in the modern language	1325	FRIEND
109	get up, v (rise)	ka´ten	kʌ.tɛn	kv.tenc	kə₀ten₃	𖪠𖩸.𖪰𖩽𖪬		1512	RISE (ONESELF)
110	girl	yâ´shikshâ	jɑ.ʃɪk.ʃɑ	yalxjuiksaz	ʒal₂ʨɨk₄sa₁	𖪥𖩷𖪮𖪵𖪌𖪠𖪤𖩴		1646	GIRL
111	give	kû	ku	kuq, kuyz	kuʔ₄, kui₁	𖪠𖪆, 𖪠𖪄𖪀		1447	GIVE
112	go away, v	ka´thot	kʌ.tʰɒt	kv.httovt	kə₀t̪ʰoɐt₄	𖪠𖩸.𖪸𖩰𖩸𖪰	incorrectly glossed. to move slightly or gradually, not to leave		
113	goat	kir´kî	kɪr.ki	khelx.khix	kʰel₂kʰi₂	𖪡𖩿𖪮.𖪡𖪃		1502	GOAT
114	gong	nyâm	ɲɑm	nyamx	ɲam₂	𖪨𖩷𖪫		2502	GONG
115	good	â´hal	ɑ.hʌl	v.hvlx	ə₀hɐl₂	𖩸.𖪭𖩻𖪮		1035	GOOD
116	granary	sam´tâp	sʌm.tɑp	tsvmz.tap	ʦəm₁tap₄	𖪶𖩸𖪫.𖪰𖩴𖪧	also /ʦəm₁tum₁/	3657	GRANARY
117	gun	koṉ	kɒ̃	koz	ko₁	𖪠𖩰		1566	GUN
118	gunpowder	nâm´van	nɑm.βʌn	namx.wanx	nam₂βan₂	𖪬𖩷𖪫.𖪦𖩷𖪬		1798	GUNPOWDER
119	flint for ditto	palûng	pʌ.luŋ	payc.lungz	pai₃luŋ₁	𖪧𖩵𖪁.𖪮𖪄𖪐			
120	hail	ting´ür	tɪŋ.yr	nyerx.lox	ɲer₂lɔ₂	𖪨𖩿𖪲.𖪮𖩳	incorrect syllabification	609	HAIL
