Grapheme	IPA	Examples	Languages	Frequence	Codepoints
^t̪	t̪	t̪ɨŋ₂, t̪ɐt₄	MuishaungModern	3	U+005e U+0074 U+032a
^t̪ʰ	t̪ʰ	t̪ʰɨk₄	MuishaungModern	1	U+005e U+0074 U+032a U+02b0
^u	u	u.lɑ, u₁la₃	MuishaungNeedham, MuishaungModern	2	U+005e U+0075
^w	w	wɪn, wu.di	MuishaungNeedham	8	U+005e U+0077
^ŋ	ŋ	ŋɑ, ŋɐm₂	MuishaungModern, MuishaungNeedham	9	U+005e U+014b
^ɑ	ɑ	ɑ.tʰɪŋ, ɑ.hʌl	MuishaungNeedham	45	U+005e U+0251
^ə	ə	ə₀re₂, ə₀pɐuŋ₃	MuishaungModern	42	U+005e U+0259
^ɣ	ɣ	ɣap₄, ɣaʔ₄	MuishaungModern	6	U+005e U+0263
^ɲ	ɲ	ɲer₂lɔ₂, ɲa₃tɨk₄	MuishaungModern, MuishaungNeedham	10	U+005e U+0272
^ʃ	ʃ	ʃɪp, ʃɒk.tʰy	MuishaungModern, MuishaungNeedham	13	U+005e U+0283
^ʌ	ʌ	ʌ.dɒi̯, ʌn.jyr	MuishaungNeedham	2	U+005e U+028c
^ʒ	ʒ	ʒɐuk₄t̪ʰɨn₃, ʒɐuk₄ʃi₂	MuishaungModern	29	U+005e U+0292
^ʦ	ts	ʦɨŋ₃ʃiʔ₄, ʦɨk₄hek₄	MuishaungModern	5	U+005e U+02a6
^ʧ	tʃ	ʧɑ.ry, ʧɑn	MuishaungNeedham	2	U+005e U+02a7
^ʧʰ	tʃʰ	ʧʰɑˀ, ʧʰɒɑl	MuishaungNeedham	8	U+005e U+02a7 U+02b0
^ʨ	tɕ	ʨak₄, ʨɐp₄bɔ₂	MuishaungModern	8	U+005e U+02a8
^β	β	βɑ, βu₁	MuishaungModern, MuishaungNeedham	40	U+005e U+03b2
_	+	miʔ₄ t̪ɨi₃ ka₁, ʒan₂ hi₂	MuishaungModern	14	U+005f
a	a	ʒal₂ʨɨk₄sa₁, laʔ₄san₁	MuishaungModern	84	U+0061
b	b	ʨɐp₄bɔ₂, nɨ₂bɨr₁	MuishaungModern, MuishaungNeedham	7	U+0062
d	d	ə₀dɐi₂, wu.di	MuishaungNeedham, MuishaungModern	8	U+0064
e	e	ə₀re₂, ke₁	MuishaungModern, MuishaungNeedham	18	U+0065
e$	e	pʰe	MuishaungNeedham	1	U+0065 U+0024
g	g	mut.guɪ, ɑ.gu	MuishaungNeedham	6	U+0067
