ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Orthographic_Entry,Attestation
MuishaungModern-255_where-1,,MuishaungModern,255_where,m₁ʒuʔ₄la₃,m₁ʒuʔ₄la₃,m ₁/³¹ + ʒ u ʔ ₄/⁵⁵ + l a ₃/³³,,VanDam2025,,,^m ₁ ʒ u ʔ ₄ l a ₃$,default,mz.yuq.lac,2024
MuishaungNeedham-256_white-1,,MuishaungNeedham,256_white,ɑ.ly,ɑ.ly,ɑ + l y,,Needham1897,,,^ɑ . l y$,default,â´lü,1897
MuishaungModern-256_white-1,,MuishaungModern,256_white,ə₀lɨ₁,ə₀lɨ₁,ə ₀/⁰ l ɨ ₁/³¹,,VanDam2025,,,^ə ₀ l ɨ ₁$,default,luiz,2024
MuishaungNeedham-257_who-1,,MuishaungNeedham,257_who,u.lɑ,u.lɑ,u + l ɑ,,Needham1897,,,^u . l ɑ$,default,u´lâ,1897
MuishaungModern-257_who-1,,MuishaungModern,257_who,u₁la₃,u₁la₃,u ₁/³¹ + l a ₃/³³,,VanDam2025,,,^u ₁ l a ₃$,default,uz.lac,2024
MuishaungNeedham-258_why-1,,MuishaungNeedham,258_why,kʰʌm.lɑ,kʰʌm.lɑ,kʰ ʌ m + l ɑ,,Needham1897,,,^kʰ ʌ m . l ɑ$,default,kham´lâ,1897
MuishaungModern-258_why-1,,MuishaungModern,258_why,kʰɐm₃ la₃,kʰɐm₃_la₃,kʰ ɐ m ₃/³³ + l a ₃/³³,,VanDam2025,,,^kʰ ɐ m ₃_ l a ₃$,default,khvmc lac,2024
MuishaungNeedham-259_wing-1,,MuishaungNeedham,259_wing,wu.rɒŋ,wu.rɒŋ,w u + r ɒ ŋ,,Needham1897,,,^w u . r ɒ ŋ$,default,wûrong,1897
MuishaungModern-259_wing-1,,MuishaungModern,259_wing,βu₁rɐuŋ₂,βu₁rɐuŋ₂,β u ₁/³¹ + r ɐu ŋ ₂/²³¹,,VanDam2025,,,^β u ₁ r ɐu ŋ ₂$,default,wuz.rvungx,2024
MuishaungNeedham-260_worm-1,,MuishaungNeedham,260_worm,ʧʰɪl.bɑ,ʧʰɪl.bɑ,tʃʰ ɪ l + b ɑ,,Needham1897,,,^ʧʰ ɪ l . b ɑ$,default,chil´bâ,1897
MuishaungModern-260_worm-1,,MuishaungModern,260_worm,ʨɐl₂ba₁,ʨɐl₂ba₁,tɕ ɐ l ₂/²³¹ + b a ₁/³¹,,VanDam2025,,,^ʨ ɐ l ₂ b a ₁$,default,jvlx.baz,2024
MuishaungNeedham-261_yesterday-1,,MuishaungNeedham,261_yesterday,mʌ.jɑ,mʌ.jɑ,m ʌ + j ɑ,,Needham1897,,,^m ʌ . j ɑ$,default,ma´yâ,1897
MuishaungModern-261_yesterday-1,,MuishaungModern,261_yesterday,m₁ʒa₃,m₁ʒa₃,m ₁/³¹ + ʒ a ₃/³³,,VanDam2025,,,^m ₁ ʒ a ₃$,default,mz.yac,2024
MuishaungNeedham-262_you-1,,MuishaungNeedham,262_you,m.nʌŋ,m.nʌŋ,m + n ʌ ŋ,,Needham1897,,,^m . n ʌ ŋ$,default,m´nang,1897
MuishaungModern-262_you-1,,MuishaungModern,262_you,m₁nɐuŋ₁,m₁nɐuŋ₁,m ₁/³¹ + n ɐu ŋ ₁/³¹,,VanDam2025,,,^m ₁ n ɐu ŋ ₁$,default,mz.nvungz,2024
MuishaungNeedham-263_youngman-1,,MuishaungNeedham,263_youngman,jɑ.ro.wɑ,jɑ.ro.wɑ,j ɑ + r o + w ɑ,,Needham1897,,,^j ɑ . r o . w ɑ$,default,yâ´rôwâ,1897
MuishaungModern-263_youngman-1,,MuishaungModern,263_youngman,ʒal₂ro₂βa₁,ʒal₂ro₂βa₁,ʒ a l ₂/²³¹ + r o ₂/²³¹ + β a ₁/³¹,,VanDam2025,,,^ʒ a l ₂ r o ₂ β a ₁$,default,yalx.rox.waz,2024
MuishaungNeedham-264_youngwoman-1,,MuishaungNeedham,264_youngwoman,jɑr.tu,jɑr.tu,j ɑ r + t u,,Needham1897,,,^j ɑ r . t u$,default,yâr´tû,1897
MuishaungModern-264_youngwoman-1,,MuishaungModern,264_youngwoman,ʒal₂tu₂,ʒal₂tu₂,ʒ a l ₂/²³¹ + t u ₂/²³¹,,VanDam2025,,,^ʒ a l ₂ t u ₂$,default,yalx.tux,2024
